,review,rating,autor(a),data
1490," Rip my Coco Blu-ray. You may have never worked in the first place, but I didn’t know that. You truly were a fine addition to my collection.Anyway, great movie. I love the themes and characters and the animation is beautiful. It’s a bit cliche at times and I think the villain’s defeat could’ve been more impactful, but the movie is really about family, not the conflict with the villain, so at least the following scenes wrap up the story perfectly.Pixar Ranking | Top 100 ", ★★★★½ ,Danny D,20 Apr 2023
1491," Beautiful... Although maybe they could have thwarted the villain in a way that wasn't just the way they did it in Monsters Inc. But that's all fluff, because I cried so fucking hard. ", ★★★★★ ,Campbell Hink,22 Mar 2023
1492," I LOVE COCO. I love everything. I love animation, story, songs, characters, everything. The only I think is off is where Miguel, his family and Ernesto are in the stage and one of the family member just record and Ernesto didn't even hear the audience's gasp. But still I freaking love this movie. Also movie have is the saddest Pixar ending ever. ", ★★★★½ ,Ethan Animation,
1493," Champions League Of Directors 🏆68/100It was quite refreshing to see death used so openly in an animated film aimed at children. I absolutely loved the art style, the whole thing is so gorgeous to look at. It's probably the closest we're going to get to a Grim Fandango movie too.You Pick, I Watch© ", ★★★½ ,kynky,19 Jan 2023
1494, This review may contain spoilers. I can handle the truth.  BRO HOW DID THEY GET CAMERAS WHEN THE BELL FELL ON HIM THE SECOND TIME??? 😭  , ★★★★½ ,*ju1es! 🕷️,25 Jan 2023
1495," Sadly it didn't make me cry this time. I also noticed a lot more plot holes with the world of the dead, but they don't really take away from the movie. ", ★★★★ ,Hawkshaun,17 Nov 2022
1496, spoilers**wdym hector died alone and didnt get a proper funeral and has spent 60+ years completely alone trying to find a way to see his daughter and his whole family thinking he was a bad person when in reality he wanted to go home but was murdered by someone he trusted out of envy and greed????? , ★★★★★ ,shana,03 Nov 2022
1497," it never fails to make me cry, make me remember, and make me happy. Happy Halloween! ", ★★★★★ ,Neeka B,31 Oct 2022
1498, watched this in my spanish class and those three boys that pretty much sit right across from me kept on making out 😐 , ★★★ ,saul goodman,28 Oct 2022
1499, Beautiful. , ★★★★★ ,Natalie Friend,11 Oct 2022
1500, re-watched this in class today and i started cryingthis will always make me cry no matter what , ★★★★★ ,lucine ✿,10 Oct 2022
1501, i don't think i'll ever be able to listen to remember me without crying. , ★★★★½ ,léane 🌷🌙,19 Sep 2022
1502," what a beautiful story, i love it so much ", ★★★★★ ,victória,05 Sep 2022
1503, This movie physically hurts my soul every time. and then touches it. I cry so much. Truly one of Pixar’s most beautiful films. Everything from the message to the colors and animation to the shots and soundtrack. This just gets better every time. , ★★★★★ ,butterystardust,01 Aug 2022
1504," Es muy curioso ver como es más la gente que la odia en México que en Estados Unidos, lugar donde dicen “Best Animated Film Ever”. O sea, no es ni de cerca la mejor película de Pixar pero si es buena, tampoco dire que esta mediocre.En pocas palabras lo que quiero decir es que no estoy del lado de las personas que la aman con toda su alma y tampoco del lado de quienes la odian con toda su alma. ", ★★★★ ,Isi Serratos,30 Jul 2022
1505," I don’t always get the Pixar movie hype, but I do with Coco. Excellent. ", ★★★½ ,Alex Spindler,28 Jul 2022
1506, tô chorando.. , ★★★★★ ,Ryan Guerra,25 Jun 2022
1507,  A technical marvel. Everything looks so good. Brilliant colors and amazing animation with so many wonderful ideas in all of the little nooks and crannies. I can not even imagine how long it took to put together the various backgrounds in this. It's wonderful to look at. The best part is seeing all of the various color shifts on that monkey thing that Frida Kahlo has. It felt like there were some brand new colors in that.It's a nice…  , ★★★★ ,Frump,15 May 2022
1508,"  I've mostly soured on Pixar, so I went into Coco (the most celebrated Pixar movie I hadn't seen) with an ""okay movie, show me what you've got"" kind of attitude.My ungenerous outlook was trampled. This movie is sweet and adventurous fun! Hews too close to the textbook children's movie template, but it's about as good as you can get while working within those safety railings. It can stand with the films of Pixar's pre-2010 golden years. The plotting is…  ", ★★★★½ ,DubiousLegacy,05 May 2022
1509,"  A mamá le dicen Coco desde que tiene memoria para recordar cómo le llaman, aparentemente, por mucho tiempo no tuvo un solo pelo en la cabeza y el apodo se quedó como esos apodos que realmente ya no hacen honor a su origen sino porque se quedan y ya. A mamá le dice Coco. Mamá también tiene al Rivera como apellido y Mamá Coco (la de la peli) tiene un parecido tremendísimo con mi bisabuela. Esta es la única película…  ", ★★★★ ,doménica,17 Mar 2022
1510," This review may contain spoilers. I can handle the truth.   ""Remember me....""Coco is a 2017 American computer-animated fantasy film directed by Lee Unkrich which follows a 12-year-old boy named Miguel who is accidentally transported to the Land of the Dead, where he seeks the help of his deceased musician great-great-grandfather to return him to his family among the living and to reverse his family's ban on music.Exploring themes of death, dementia and being forgotten whilst also looking at Mexican culture, Coco is a film I’m embarrassed I’ve not…   ", ★★★★★ ,nikki,10 Mar 2022
1511," This brilliant story expertly capitalizes on its cultural source material, enriching it with touching musicality and familial tenderness. - ▲ ", ★★★★½ ,Bryan Way 🔺️,23 Jan 2022
1512, C'est fou comme il y a de la poussière dans la pièce. MOI ? PLEURER ? Pff. , ★★★★ ,Yugazax,17 Jan 2022
1513,"  ""Remember me, though I have to say goodbye"" - HectorAbsolute masterpiece and the best way to end this shitty year out. SUPERB score, SUPERB soundtrack and a stupidly great story. This is the only Pixar film that I cry at every single time without fail. Not the best Pixar film however, but really damn close. Characters are amazing even though all the Miguel memes are really funny and annoying at the same time. Story is great from start to…  ", ★★★★★ ,JPJoker01,31 Dec 2021
1514, The waterworks were happening at 300 Willis st today. Recuérdame , ★★★★★ ,max_bramwell,03 Oct 2021
1515," Newsflash to anyone who criticizes this movie for being a ripoff of The Book of Life:A) Ripoffs can still do better than the original. But aside from that, despite sharing the theme of the same holiday with maybe a few plot points, this movie is totally different.B) The Book of Life is a bad movie anyway, so who cares? ", ★★★★½ ,Extremely Critical Belgian,
1516, Absolutely wonderful. I’ve seen this 3 times and I’ve never not cried at the same two scenes , ★★★★★ ,Adam Haines,24 Jul 2021
1517," Actually, the real reason I want to redo the Pixar Bracket is because the original one I did was way too short and felt very rushed. That doesn't mean I'm going to delete the original bracket but I'm going to use different rules this time around so it doesn't end up feeling rushed. ", ★★★★★ ,Christian Knight,
1518," I didn’t think this movie was going to get me again like it did the first time… and then those last fifteen minutes hit me like a freight train.I think any film that explores the afterlife raises more questions than it can answer, let alone a children’s film, but this is a beautifully animated story, with great character design and some really fun sequences. ", ★★★★ ,Robo Balboa,15 Jul 2021
1519, Yes I am ashamed that this was my first time watching thisPixar Ranked , ★★★★½ ,Owen Adams,04 Jul 2021
1520, Can’t wrap my head around the fact this cartoon is less known than frozen while being much better , ★★★★★ ,Stu,08 May 2021
1521, The music slaps.What a movie.And I'm still the only person I know who hasn't cried watching this. , ★★★★½ ,Aventador117,03 Mar 2021
1522, Top 3 pixar , ★★★★★ ,Luca,03 Mar 2021
1523, i really went home and was like tears , ★★★★½ ,angelo,24 Feb 2021
1524," Probably the most beautifully animated film in Pixar's filmography. It's a gorgeous and emotional story about the importance of honoring and remembering your family, even after they pass on. It's creative, unique, sad, funny, and thoroughly entertaining. ",,RobynSummer,
1525, This movie is 100% unapologetically filled with culture and it’s such a great ride. That ending is just so damn beautiful 🥺.9/10 , ★★★★½ ,itskyle,14 Feb 2021
1526," I don't know how, but I had never seen this before. It was better than I thought it would be ", ★★★★ ,charlie_made_me,
1527, if your film has a cat in it... that's an automatic A++A great film with a great message and beautiful soundtrack , ★★★★½ ,👻sam🎃,04 Feb 2021
1528," Пособие о том, как одному мультфильму уничтожить 98% кинематографа ", ★★★★★ ,Нил,01 Feb 2021
1529, My emotions are obliterated. , ★★★★★ ,Mandel 🎥👻,31 Jan 2021
1530, Hot take:Un Poco Loco > Remember Me , ★★★★½ ,Whitley M. W.,
1531, the scene when miguel sees el mundo de los muertos will never not be breathtaking. that colorful bright sparkling world takes you to magical and sentimental place that no movie ever will. , ★★★★★ ,duda,07 Dec 2020
1532,  I was absolutely invested in this film the entire time and this is basically the perfect family movie. This was full of so much charm and heart. The color pallet of this also just explodes off the screen with how vibrant this is. This was a really entertaining story that hooks you right away and still feels as effective on rewatch than it did on my first watch. The songs were catchy and I found a lot of relatability in…  , ★★★★½ ,Leo_C17,01 Dec 2020
1533," Absolutely makes me cry every single time I watch it. Beautiful imagery and wonderfully bright colors. I HATE that Disney stole the idea, and I hate that so many things they as a company do that are morally wrong because it makes it so difficult to dislike anything that they do because they make stuff like THIS. ", ★★★★ ,meg✨,
1534," The greatest children movie about dying, dementia, terrible dads, oh and dying again. I'm strong enough to cry every time. Pixar Ranked  ", ★★★★★ ,Brett,07 Nov 2020
1535, not my parents trying to cover their emotions during that remember me scene... 👵🏽🤍 sis we were all tearing up it’s OKAY , ★★★★★ ,- ̗̀ kerry ̖́-,02 Nov 2020
1536, chtm cada que respires ernesto de la cruz , ★★★★★ ,ari 💫,02 Nov 2020
1537, me watching the movie: 😁me watching the ending: 😪😢😭 , ★★★★★ ,misha🛸,02 Nov 2020
1538,"  Look, I could probably count on one hand the number of Pixar films I've seen in the last 10 years. I don't gravitate towards animation at the best of times, but especially not Disney/Pixar - and I don't wear that as a badge of pretentious pride, it's just taste. But yeah I guess this was... good? A lot of my problem with animated films like these is that fundamentally I struggle to emotionally connect, and I found this here; even…  ", ★★★ ,Max,01 Nov 2020
1539,"  LOVE LETTER OR STEREOTYPE?Probably the most ambitious project of the company, they managed to give the respect that this beautiful tradition deserves and they made sure, not to appropriate anything, but to give Mexico a gift of cultural empathy. Between the dialogues and the characters, it's notable the investigation in every detail of the celebration, from the meaning of the flowers to the importance of being remembered (even the Spanish dub is better than the original version, is it…  ", ★★★★ ,Smashology,29 Sep 2020
1540, Coco more like crycry am I right? , ★★★½ ,William Stottor,05 Sep 2020
1541,"  i was sus coming in... there’s so much hype around this movie and i doubted it would live up to it for some reason... but as soon as the abuelita starting piling up those -itos, yelling at her grandson but defending him fiercely at the same time, knew i was in for a ride. i have never cried so much during a movie. it really struck a chord with me. my family isn’t mexican and we don’t celebrate día de los…  ", ★★★★★ ,lina,23 Aug 2020
1542,"  Pixar rewatch movie #19Shit man, I needed a good ugly cry at uh... 2:30 in the afternoon on a Monday. Probably a bad movie to watch in my recently deceased grandma's bedroom. 2020: no hits! All misses!Man, this is just a great movie. No asterisks or qualifiers or ""buts"". It's just solid all around. Watching the slow decline of Pixar hasn't been a super rewarding experience up until now, and I've been really afraid to revisit Coco because…  ", ★★★★½ ,Daniel Gallegos,17 Aug 2020
1543, Bad. , ★★★★ ,𝙲𝚑𝚊𝚛𝚕𝚒𝚎,23 Jul 2020
1544, this is literally my 5th rewatch and it still makes me ugly cry , ★★★★ ,dev,25 Jun 2020
1545, the music in this movie SLAPS , ★★★★½ ,trash,04 Apr 2020
1546," from the colorful visuals to the heartwarming songs, this movie has tugged heartstrings I never thought I had (lol). reminds us to always remember those who have come before us and always hope for those who will come after. ", ★★★★ ,kath,
1547," i bawled like a baby. this is one of the most important movies disney pixar has ever made. always remember your dreams and hold onto them, they’re what makes you special. also, amazing soundtrack!!! really really loved this one. ", ★★★★★ ,sadie *＊✿❀,11 Apr 2020
1548, ya çookkk çokkk çokk güzel inanamıyorum #1 comfort filmim budur artık yumuşacık pozitif neler neler mutlulutktan ağlıyorum bu filmi görmeme sebep olan her şeye çok teşekkür ederim her şeyi çok seviyorum bu filmi de çok seviyorum yerim bu filmi allhım , ★★★★★ ,dilay,08 Apr 2020
1549, FIESTA 😥😥😥😥 SALSA😰😰😰 QUINCINEIRA 😪😪😪😪 BAILA😭😭😭😭 SIENTE EL RITMO 😢😢😢😢😢Y PONTE A SONRREIR😭😭😭😭😭😭 , ★★★★★ ,gisele,15 Mar 2020
1550, You make me Un Poco Loco. 😘😘🥰 , ★★★★½ ,KF,27 Feb 2020
1551, AM I EVER GOING TO STOP CRYING??? , ★★★★★ ,ignacia,25 Feb 2020
1552, Put them on your head!!! , ★★★★½ ,Sam,28 Jan 2020
1553, WHY DID I EVEN DOUBT DISNEY PIXAR I AM STILL CRYING SHIT WHAT A MULITLAYERED STORY WHAT A MASTERPIECE , ★★★★½ ,elena 🍋,25 Nov 2019
1554,"  We keep alive what we tell stories about. To forget is to stop telling stories, and to remember is to give life.Coco delves into the colourful world of story-telling, with a memorable cast of characters, and a fascinating array of themes about balance, sacrifice, tradition and art. On my second-watch, some of its flaws stuck out a little more glaringly— formulaic plot, over-explain-y dialogue, lots of exposition— but the film still lands all its emotional beats, and succeeds in…  ", ★★★★ ,Samcrom,10 Nov 2019
1555,"  Happy obligatory coco viewing dayDetails I Caught: (spoilers)- he’s called Ernesto de la Cruz, cause he is earnest but only with fingers crossed- the marijuana joke with the churros at the border- the land of the dead is clearly a metaphor for immigrants on the u.s.- Live your moment is the new Memento Morí- the grandma says feed a street dog and he’ll always be with you like it’s a bad thing- the…  ", ★★★★★ ,Jime 💜✨️ PUMPKIN SLUT,02 Nov 2019
1556, Disney really got me with this one. 🥺 , ★★★★★ ,issahb,10 Sep 2019
1557, Beautifully animated. Another joyful tale by a studio that is always growing. , ★★★½ ,Max Ahoy,06 Aug 2019
1558, Featured Lists  > 2017 Ranked  > Ranked: PixarOverall Rating: A- , ★★★★ ,Nick Spaine,12 Jul 2019
1559, me watching this movie for the 35324th time knowing that Remember Me is coming up: ah shit here we go again , ★★★★★ ,Cara,28 Jun 2019
1560, between Mama Coco and Carl Fredrickson I very much like Pixar's apparent belief that when you get older your whole silhouette just gets much more angular , ★★★★★ ,Lydie 💜,15 Apr 2019
1561," I can’t believe I kind of was the last person on earth to watch this, but I am so glad I finally did because this was another homerun from Pixar.The Land of The Dead’s visuals, colors and environments were absolutely stunningly created. The whole message of this film with family, death dreams and culture was really heartwarming  and touching. Mamá Coco and Miguel singing Remember Me was so beautiful.Pixar remains being on top with everything. ", ★★★★ ,Linnéa,15 Mar 2019
1562, de la cruz revealing himself to have been garbage all along belongs squarely at #1 on the list of top 10 pixar betrayals , ★★★★★ ,Kait,24 Jan 2019
1563, Wow I'm sobbing!!! , ★★★★½ ,grag,02 Nov 2018
1564, It’s a good one for sure. Doesn’t give me the same feelings as some of the other Pixar movies but it is pretty beautiful and heartwarming. , ★★★★ ,Josh Ohea,14 Oct 2018
1565," when miguel sang “remember me” with coco: i really felt that, as a matter of fact i’m crying while i’m writing this.anyways I LOVE THIS MOVIE WITH ALL MY HEART, THANK YOU VERY MUCH DISNEY AND PIXAR FOR MAKING THIS MASTERPIECE. ", ★★★★★ ,Angel 🧚‍♀️,13 Oct 2018
1566, DARN IT I cried againand I was only half watching it too , ★★★★★ ,bella,25 Sep 2018
1567, how did this break my heart and simultaneously make it grow 3 sizes , ★★★★½ ,lou,19 Aug 2018
1568," First 85 minutes: Pixar have lost it. This is a pretty mess, and I'm sick of all these films using the same ""cute"" facial expression. Why are all these songs so (ironically!) forgettable? Why does a film like this need a villain? Why do they keep breaking their own rules for this wildly inconsistent fantasy land?Last 10 minutes, through my tears: BEST FILM EVER ", ★★★★ ,Tom Morton,03 Aug 2018
1569,"  I wish I loved this as much as everyone did. Overall, I think the film is great. The animation, the story and the direction; everything is here is really good. I can't say I have any major problem with the film other than the pacing is a bit off by moments and that it's pretty typical story wise. I simply couldn't connect with the film like so many did. I had a good time watching Coco, but alas I felt…  ", ★★★ ,Ηλσι (Louis-Charles),17 Jul 2018
1570, Pixar: cryLee Umkrich: sob bitch , ★★★★★ ,chasetheloser,08 Jul 2018
1571, Beautiful outstanding showstopping breathtaking those PIXELS oh sweetie the cinematography is perfect. Fuck you ernesto de la cruz. Luv you Héctor , ★★★★★ ,Pamela,
1572," The powerful combination of music and colour, embraced by the following of dreams, snuggled up with the true love of family connection.How upliftingly wonderful... ", ★★★★ ,Lucy Alice 🌿,24 Jun 2018
1573, i’m a bitch for animated movies that’s all I can say about this one , ★★★★½ ,alina,25 Mar 2018
1574,"  Surprisingly moving and emotionally complex in the final third, and it aims be on par with Pixar's best, like Inside Out or Toy Story 3, but I have to lower my rating slightly because of the premise, which starts Miguel on his hero's journey with a rather pat and unbelievable dilemma that nagged at me through most of the film. His great-great-grandfather left his wife and family to pursue music so therefore all music is bad and nobody in her…  ", ★★★★ ,Auteur,31 Jan 2018
1575, only docking this half a star for the amount of water my body lost after i cried for 10 hours due to this movie. , ★★★★½ ,ava ୨୧,15 Jun 2018
1576, when they put mama coco’s picture up on the table... that shit hurted , ★★★★★ ,sierra,09 Jun 2018
1577, 3rd viewing:The multiple uses of foreshadowing in this flick is just outstanding! , ★★★★★ ,Jojo/Lily Maben,03 Jun 2018
1578,"  It's been a while since I've seen a legitimately great animated Disney film, but I was looking forward to Coco because it seemed different from what I've grown accustomed to expect from Disney. Coco is filled with so much heart and warmth, and it tackles themes like death and the afterlife with a tenderness that emanates comfort.I think a big reason as to why I enjoyed Coco is because I'm of Mexican descent myself, so I was all too…  ", ★★★★½ ,Valerie,20 Apr 2018
1579,"  Warning. Do not watch this movie in an emotionally unstable state. Because the finale will make you cry. A lot.Honestly, the first act felt a bit too long. It did a nice job introducing everyone. But I didn't really get into the story. The whole family hating music? That felt a bit far fetched...But the movie picked up after that and I had a fantastic time. The time you enter the land of the dead it becomes a…  ", ★★★★ ,Joachim,13 Apr 2018
1580,"  Here's the thing with Coco, you'd expect it to be good when you see that it's a Pixar movie but even then this was a nice surprise. There's only a small number of films where I feel Pixar have maybe missed the mark. Where the film's may be good, but when considering the company they are, the film's aren't up to standard. Before I saw Coco, I thought exactly that. I thought this was going to be a forgettable entry.…  ", ★★★★½ ,Ryster,04 Feb 2018
1581,"  ""Remember Me"" - Der Oscar-prämierte Song aus COCO bleibt einem nach dem Film locker noch ein paar Tage als Uhrwurm haften, egal ob man ihn mag oder nicht. Der Fokus des Films liegt nunmal auf das Thema Musik und beschäftigt sich mit dem Jungen Miguel der eben diese liebt und leidenschaftlich gern ein Mariachi werden möchte. Nur blöd das seine Familie seit Generationen Musik verabscheut und ihm jeglichen Kontakt dazu unterbindet. Dennoch will er sich nicht von seinem musikalischen Weg…  ", ★★★★ ,Onno,28 Mar 2018
1582, can you believe this is one of pixar's very best? , ★★★★★ ,Eugenio C,04 Mar 2018
1583," This hits almost every predictable story beat imaginable, but that did not stop me from almost sobbing in a Starbucks while watching this on my laptop during the final ""Remember Me."" ", ★★★★ ,Brian Sweeney,02 Mar 2018
1584, DISNEY REALLY CRACKED MY COLD HEART WOW IM CRYING , ★★★★★ ,christine,24 Feb 2018
1585, catch me here crying for an hour!!!!!!! i just want to remember every scene of this film man. this was so heartwarming , ★★★★★ ,this barbie is jigsaw,15 Feb 2018
1586, This review may contain spoilers. I can handle the truth.  i swear i cried for that stupid dog when he was becoming all colorful and stuff cause i thought he had died in the real world and that was his transition to the spirit world but turns out he was just fine. i guess that just says enough about how invested i was in this movie  , ★★★★ ,bruna,10 Feb 2018
1587," Magical. I usually struggle with Pixar films because they tend to suffocate under the weight of their own plot, but Coco manages to stay consistently surprising, emotional and fun all the way through. It may not have the best songs, or the biggest laughs, but it bursts with specificity and life, which is doubly impressive when creating an entire new world from scratch. ", ★★★★½ ,Chad Hartigan,08 Feb 2018
1588, if i see anyone saying anything bad about this movie i'll be on their asses like abuelita with la chancla , ★★★★★ ,stephanie,03 Feb 2018
1589,"  In the least emo way possible - I want to die.Coco tells the story of a Mexican boy whose family has banished music due to his great-great grandfather abandoning the family for his dreams. But his love of music takes him to the Land of the Dead where he learns more about his heritage. It's one of the least funny Pixar films, but definitely one of the most affecting, which is exactly what you'd expect from a film about…  ", ★★★★½ ,YouHadMeAtJell-o,02 Feb 2018
1590, why is remember me the greatest song ever written n this the most beautiful movie ever made lol , ★★★★★ ,rom,30 Jan 2018
1591, I told my dad back from the theather that my shirt was wet because of the rain. He barely knows that was my  fucking  tears that flowed.Fuck you Pixar. , ★★★★ ,ArthurBreier,17 Jan 2018
1592,"  With their much lauded Inside Out, Pixar developed upon an abstract idea within a metaphysical world, transcending the norm of animated feature films. Returning to established properties in the years that followed, the studio struggled to define its uniqueness, only pushing boundaries through their deeper shorts. With their latest production, Coco, the studio have again opted to explore an abstract idea, one that is often kept clear from this genre: death.Coco follows Miguel, a Mexican child with an obsession…  ", ★★★★★ ,Thomas Clarke,14 Jan 2018
1593,"  Breathtakingly beautiful animation. Simply stunning vibrant colours.The story is heartfelt and at times tear jerking, and you could argue that Disney have pushed to get a story made to appeal to the mexican market, but this Dia de los Muertos story seems thought out, and plot essential rather than attempts to incorporate it in recent time like the poorly written Spectre. In this instance, the animators at Pixar have been able to create a visual masterpiece, with the Mexican…  ", ★★★★½ ,Gareth Bailey,14 Jan 2018
1594,"  I was crying like the little 5-year old girl in front of me during the last 20 minutes.Coco is another emotional powerhouse by Pixar. The story about a kid wanting to be what he feels his purpose is. Music. Family. Life itself. With another amazing animation style, loveable characters and an emotional soundtrack, everything in this movie is Pixar's way of saying: ""Hey! We can still do it.""After Cars 3, Good Dinosaur and Finding Dory alot of people…  ", ★★★★½ ,OpticPotato,14 Jan 2018
1595,"  Coco is the latest film from the Pixar umbrella with Toy Story 3 direct Lee Unkrich helming this animated feature which has us following a young boy in Mexico named Miguel Rivera. Miguel loves his family but there’s one thing he loves just as much…playing music. The problem for Miguel is that there’s a family ban on music that has been passed down for generations because his great-great-grandmother’s husband, a musician, left her and her daughter Coco to pursue a…  ", ★★★★ ,Eamonn Rafferty,13 Jan 2018
1596,"  ""Nothing is more important than family.""Aided by scintillating visuals and catchy music, Coco tells the tale of ten year old Miguel, who gets trapped in the Land of the Dead and must find his great-great-grandfather and seek his blessings so that he can return to his village in Mexico.What an absolutely stunning film. It started out slow, but when it picked up, it was unstoppable. There is just SO much heart in it, and by the end I…  ", ★★★★★ ,nidheya,06 Jan 2018
1597, this really single-handedly cured my cold huh , ★★★★ ,emma,06 Jan 2018
1598, pixar sure knows how to make me cry , ★★★★½ ,Tim,05 Jan 2018
1599, This review may contain spoilers. I can handle the truth.  That typical movie where the character dies twice and stuff and stuff  , ★★★½ ,André Nogueira,04 Jan 2018
1600, I'm not crying...OK I am 😭 , ★★★★ ,tggoulart,04 Jan 2018
1601," You could say that I consider that both the story and the animation in this masterpiece of cinema is drop DEAD gorgeous. If you do say that..why would you say that, puns aren't clever! Don't say them! But yes, I still do actually consider that. ", ★★★★★ ,Jojo/Lily Maben,02 Jan 2018
1602,"  Some spoilers for this, Brave, and to a lesser extent, WALL-E.You've seen this film before.For a movie which, partially at least, is about protecting artistic integrity (and honesty of ownership), it sure is unafraid to plagiarise from its own studio. It's shocking that Brave can be considered lower tier Pixar while this is being praised nearly unanimously despite having distractingly similar story beats: the child vehemently disagrees with his/her family's opinions on what recreational activity they should or…  ", ★★ ,iksvecjart,31 Dec 2017
1603, Love to be surrounded by crying children while I am also uncontrollably sobbing for different reasons. , ★★★★½ ,Rob Trench,25 Dec 2017
1604, i cried like a BITCH and these 2 literal 8 year olds kept laughing at me. ANYWAY this was so lovely and i'm emotional ,,carey,17 Dec 2017
1605, Me after Coco: Everything is explained so perfectly on the screen and everything is beautiful and perfect and nothing is wrong at all.Me at 3am: Okay but these skeletons were drinking but like they don't have any organs? So when they drink where does the liquor go? Does it just vanish? Or does it just run down the rest of their bodies? Also they don't have any taste buds ??? , ★★★★½ ,Wyatt,15 Dec 2017
1606, I was worried that this would crib heavily from The Book of Life. It did and it didn't. My daughter and I cried for most of the back half... Fucking Pixar. , ★★★★★ ,Peter Valerio,15 Dec 2017
1607, Aún me dura la congoja. Qué inolvidable maravilla. , ★★★★½ ,Jesús González,13 Dec 2017
1608,"  I am in such awe after watching this film...For the first time in a very long time, I sat through an entire animated film without looking away from the screen in complete amazement. Coco has the genuine, heart-felt sentiment that Pixar movies have lacked for a very long time. The timeless story of an artist struggling with his surroundings illuminates the entire world of Coco through its quirks and gems of humor, love, and real heart.Besides the plot,…  ", ★★★★★ ,Emma Kafka,
1609, pixar...te amo , ★★★★★ ,Sarah,06 Dec 2017
1610, I’m not even sure what to say other than this might be my favorite movie of the year now , ★★★★★ ,elizabeth 🌛,06 Dec 2017
1611,"  [English/ Spanish review]Coco hits similar chords to previous Pixar classics like Up or Toy Story while draws from a very specific way to convey emotion, the Disney tradition. So we have a tale about, of course, family ties. And tradition, heritage, memory and coming to terms with your own past. And a mesmerizing visual and musical tribute to Mexican culture, Everything is so fine-tuned in all accounts that the whole becomes simply irresistible. And two names stand out, Lee…  ", ★★★★ ,Toni Roig,06 Dec 2017
1612," Encender las luces tan pronto para que todo el mundo vea quién está llorando al final es un golpe bajo, cine local. ", ★★★★ ,Morgan,06 Dec 2017
1613,"  "" Un Poco Loco!""Pixar has struck fire only twice previously, this decade. I'm happy to announce that they've done it a third time with Coco! This is comprehensively structured storytelling, something that the studio juggernaut has been lacking in spades. This is one of the best screenplays in their catalogue. So much heart and so much fun, with terrific characters you can't help but root for. The visuals are also some of the best the studio has ever created.…  ", ★★★★½ ,Manny Gonzalez,02 Dec 2017
1614," 90/100Coco delivers in every aspect that Pixar is known for: breathtaking animation, infectious original songwriting, and emotional heft. As for the Mexican culture, though I am white I grew up in Southern California and live currently in San Antonio so I have a basic understanding, Coco appears to hit the nail on the head without sensationalizing it or bearing down the story with it. The story doesn't go to many great lengths and some things are almost too silly for adults, but Coco will win over one and all whose heart is beating. There's nothing quite like family. ", ★★★★★ ,JingerJake,02 Dec 2017
1615,"  i haven't seen an animated/children's film in theatres in YEARS and seeing this today kind of reminded me why: screaming children, my inability not to say ""what the fuck?"" after every trailer and then scolding myself because there were children present yet continuing to do so after the next one......despite that, though, i'm glad i saw this and i'm glad i went with the people i did. coco is a beautifully animated, heartwarming, and funny movie. at least twice…  ", ★★★★ ,RJ,01 Dec 2017
1616,"  First off, this probably should've been released during October because it would've been perfect with Halloween and all, but whatever. I thought the color palette was gorgeous - orange and purple everywhere, and other autumnal hues, just beautiful stuff. Good job Pixar crew. But the air starts leaking out of the story about halfway through (specifically during the talent competition thing), and all the skeleton characters start to blur together after awhile, and Pixar still has to rush to cram…  ", ★★★ ,luke,01 Dec 2017
1617, Pixar’s embarrassment of riches on full display. Demonstrates not just the superiority of their raw CG power but also how vastly ahead of their competitors they are in understanding how to bend their technology into art. , ★★★★ ,Khoi Vinh,26 Nov 2017
1618," ""Sé cómo funcionáis Pixar, ya no podéis hacerme llorar tan fácilmente....-El personaje alrededor del cual se estructura el núcleo emocional de esta película tiene el nombre de tu madre, Dylan....-Fuck."" ", ★★★★½ ,Dylan Vega,26 Nov 2017
1619," Coco is one of the most beautiful films I have seen in years in regards to its story, characters, animation, and themes, making it a sure classic to go down in Pixar's name. ", ★★★★½ ,Andrew Nosal,25 Nov 2017
1620, Made me cry more than I've ever cried in my life , ★★★★★ ,Ray,24 Nov 2017
1621," LET ME TELL Y’ALLMY MOVIE THEATER TURNED UP THE LIGHTS 5 MINUTES BEFORE THE MOVIE ENDED, EXPOSING MY SOBBING SELF TO EVERYONE THERE. I’VE NEVER BEEN MORE PERSONALLY ATTACKED IN ALL MY LIFE ", ★★★★★ ,Levi,23 Nov 2017
1622, My new favorite movie of the year. Amazingwww.youtube.com/watch?v=TT879bkKiLU , ★★★★★ ,Rachel Wagner,
1623, Can’t believe 2017 waited until November to finally give us the animated movie we needed. Don’t even know how to say it. This movie is perfect. P.S. - This is even worth sitting through the rancid 20 minute Disney’s Frozen Christmas Special you have to watch at the beginning of the movie. Holy shit I don’t know why they can’t just put it at the end so the people who actually want to see it can stay and everyone else can leave omg. , ★★★★★ ,Jacob,22 Nov 2017
1624," Please watch this. The movie is beautiful because it's based on a culture that's filled with color, humor, unconditional love to our families and respect for our dead. ¡Feliz Día de Muertos! ", ★★★★★ ,beatriz,
