,review,rating,autor(a),data
68,"  Pixar waren für mich immer das mutigere Disney. Die sich was trauten. Die einen kleinen Roboter menscheln ließen, fast ohne ein gesprochenes Wort. Die eine völlig krude Idee von Luftballons und fliegenden Häusern in eine wundervolle Ode an das Leben und Lieben verwandeln. Pixar war immer irgendwie...anders.Coco bemüht sich redlich anders zu sein, setzt dabei aber allein auf das ungewöhnliche Setting. Ansonsten ist das hier alles biederstes Malen-nach-Zahlen, ein völlig schmerzfreies Abhaken der Handlungsfäden-Wohlfühlcheckliste, bei der weder visuell noch…  ", ★★ ,BeHaind,13 Nov 2017
69,"  ""Coco"", is a breathtaking and emotionally resonant movie that explores the power of family, culture, and music. Directed by ""Lee Unkrich"" and produced by ""Pixar Animation Studios"", the movie is a love letter to ""Mexican culture and tradition. The animation is stunning, and the music is unforgettable, making ""Coco"" a cinematic masterpiece.The story of ""Coco"" follows ""Miguel"", a young boy who dreams of becoming a musician but is forbidden from pursuing his passion by his family. Determined to follow…  ", ★★★★★ ,◦•●𓆩Ⱥвнιנєєт𓆪●•◦,21 Apr 2024
70, Coco was a delight. Fun. Even heard a very grown person cry behind me in the movie theater.This was the 77th I saw with Movie Pass. , ★★★½ ,Allison M. 🌱,27 Nov 2017
71,"  “Are you kidding? Five minutes ago I thought I was related to a murderer! You're a total upgrade!”My eyes hurt from crying so much.I saw this film in the cinema when it came out and then I do not think I have seen it since. What a beautiful, touching and wonderful film with such a special message. And incredible songs that I surprisingly remembered the words to. The colours and animation in this film might be Pixar’s best…  ", ★★★★★ ,Amelia Ford ☽,24 Apr 2024
72, im deadass crying over skeletons , ★★★★★ ,☆ maria ☆,
73, This review may contain spoilers. I can handle the truth.  Ernesto deserved death after taking Héctor’s supreme drip  , ★★★★½ ,CursedTails,19 Oct 2022
74," I went into this completely blind, didn’t even know the plot and it turned out to be the most heartfelt animated film Pixar has ever created. Visually stunning, compelling story and a ridiculously good score, what’s not to love? The voice acting is great and a few songs are still stuck in my head. I almost teared up in the end, Miguel singing ‘Remember Me’ was the most emotional scene I’ve watched from this studio and I’m glad it won Best Original Song at the Oscars.Pixar Films Ranked ", ★★★★★ ,Lucas,02 Feb 2024
75,"  An animated delight that floats on its celebration of family and colorful chords of Mexican culture, ""Coco"" is a bitter-sweet adventure. Following a young man's journey into the Land of the Dead, the film rates as another win in PIXAR's canon.Focusing on young Miguel, ""Coco"" tells the story of the boy's attempt to solve his family's distaste of all things musical while getting caught up in living and dead family politics. The narrative follows the recognizable strains of the…  ", ★★★★½ ,Travis Lytle,31 Dec 2017
76,"   Coco  wears its heart on its sleeve, and boy, it’s one big heart. the score & the songs, that arresting autumnal coloring, the nearly sublime size of The Land of the Dead — everything is so lovingly crafted and tenderly executed. you know from the moment the film starts that this is about Family with a capital F, but  Coco  builds its domestic domain with the most genuine intentions.Miguel is one of the most lovable animated leads i’ve seen in…  ",,Tay,01 Dec 2017
77,"  The character of “mama coco” was inspired by María de la Salud Ramírez Caballero from the Purépecha village of Santa Fe de la Laguna. A very wise and nice woman from everything I’ve read. Very humble. She says disney execs came to her to offer many things but never pull through. So long story short, they showed up, stole her image and left. A woman that didn’t ask for much but enough to keep her village & daughters going was shunned…  ", ★★★★ ,Wade,22 Feb 2021
78,"  miguel talking about his one dimple. me and him are one. i feel represented. and speaking of representation, i know some ppl are tired of this conversation but i really wish i had this when i was younger. like to see this growing up. wow. but it’s nice to see it now and know young latinx kids have this to grow up with. this movie just feels warm. it reminds me of things i’ve heard at home and at school…  ", ★★★★★ ,bbyamaya,21 Jul 2021
79,"  I think it's only fitting enough for me to admit that I'm a total sucker for the films of Pixar Animation Studios because of how much of an impact they had left on my own childhood. Toy Story was the first film I had ever seen as a kid and Finding Nemo was the first film that I had seen in theaters, so to say the least, I do owe them a great lot for forming many fond childhood memories.…  ", ★★★★½ ,Jaime Rebanal 🇵🇸,22 Nov 2017
80,"  ""Remember Me...."" I love Pixar. If you guys don't know- Pixar really is the company that inspired me to want to draw and make movies when I was older. I hold their movie collection very close to my heart.Sadly, ever since Toy Story 3- the studios films became more hit and miss. A little break in the middle called Inside Out proved to be just as good as Pixar has ever been, and then we got back to films…  ", ★★★★ ,Brett Schutt,22 Nov 2017
81, social stratification exists even after death… there is no escape.😢😞💔music is still good tho! 😊🫶🎶 , ★★★★½ ,ace,21 Mar 2024
82, 64Walk of Life. , ★★★½ ,SilentDawn,25 Nov 2017
83,"  Yea… this movie is a fucking banger film. I was coming in with some pretty high expectations, based off what I’d heard about the film and the fact it won best animated feature at the Oscars, and this film certainly met those expectations. This may be my favorite Pixar would to look at. All of the colors are vibrant and the undead world was so incredibly creative it made me feel like I was in a dream world. The story…  ", ★★★★½ ,Ty,23 Mar 2023
84,"  Disney + Pixar. Apple TV2.35:1Color Digital PG”I have to sing”Coco is breathtaking. While it's genuinely considered a custom for a Pixar venture to be meticulously stunning in craft and execution, aside from a few missteps in their filmography (Cars 2) Coco not only once again reinforces said flawless technical aspect ethos forthright, it also excels the entire picture (Coco) into a hemisphere of its very own, feeling so raw and unique. The tender elegiac moments all feel…  ", ★★★★★ ,Jak-Luke Sharp,12 Jun 2018
85, i really just cried 5 times at a rewatch of this masterpiece huh , ★★★★½ ,olivia,27 Oct 2019
86, Pixar at its finest. , ★★★★★ ,Benjigotfried,29 Jun 2023
87," Happy 5th anniversary to Pixar’s best movies of the 2010s since Inside Out and Toy Story 3, Coco. ", ★★★★★ ,Kyler,22 Nov 2022
88, rip héctor you would’ve loved “while my guitar gently weeps” , ★★★★ ,olivia 🩵✨,07 May 2024
89," ""lembre de mim...""""papa!""eu também tô esperando meu papa voltar, Inês 😞😞 (brincadeira gebte eu tenho pai presente) ", ★★★★½ ,🤓,23 Apr 2024
90, not a movie that someone forced to decide between pursuing their passions or fulfilling familial obligation should watch , ★★★★★ ,maiapog,19 Sep 2023
91,"  Oh my God, where to start? Coco is an animated fantasy perfection about a boy who accidentally ended up in mid-afterlife. This family friendly marvel is filled with rich culture and personable lessons; the best part is Pixar didn't whitewash the Los Dias de los Muertos tradition respected and practiced by millions of Mexicans. The script is engaging, the optics are fantastic, the songs are catchy, and the voice acting is commendable. The plot and direction is overall riveting and I…  ", ★★★★★ ,King #adoptdontshop,22 May 2021
92," I'm not crying, you're crying.Also, this is just such a beautiful movie to look at! ", ★★★★½ ,Marianna Neal,07 May 2019
93, Yes I did watch it two days in a row so what !!!!! , ★★★★★ ,EccyReviews,05 Mar 2023
94,"  Ya es tradición verla cada Día de Muertos, se le agradece a Pixar que hayan hecho tan bonito homenaje a nuestra cultura mexicana siendo bastante emotiva con temas de la muerte, excelente doblaje, sin caer en el estereotipo y a quién le pese. Cada vez le encuentro más detalles mexicanos en la animación, desde los shots de tequila de las calacas hasta el mole rojo en la ofrenda, además cómo musical colorido es bastante bueno.La Familia Rivera es top…  ", ★★★★★ ,Sergioab,02 Nov 2022
95, my bf gave this movie less than 5 stars and now i think it’s time to break up w him , ★★★★★ ,🔆jobelle🔆,01 Feb 2022
96," shocked, appalled and disgusted that this movie still pulls the ugliest of ugly cries out of me, snot included. just disgusted, i tell you ",,benton tarantella,29 Oct 2022
97, encanto could never , ★★★★★ ,· ˖ ⋆ ☾ •. moon .• ☽︎ ⋆ ˖ ·,29 Mar 2024
98,"  The Captcha of animated family films.Yeah, Pixar movies make you cry, but if you (1) don't feel anything or (2) are not a sobbing mess by the end of this movie, well, I'm sorry child, but you're a robot.Yet another Pixar classic. Essential viewing.The Scorecard:Direction: ★★★★½Acting: ★★★★½Writing: ★★★★½Editing: ★★★★½Visuals: ★★★★★Sound: ★★★★★Entertainment: ★★★★½Uglycryability: ★★★★★Song Gets Stuck In Your Head and You Think ""Oh, I'll Forget That Song,"" But No,…  ", ★★★★½ ,Gonzo,
99," Fuck. Made me cry after thirteen minutes. THIRTEEN. This movie reminded me of the first time I bought a guitar. At that time I was reading Keith Richards' book on the origins of the Rolling Stones and dreamed of becoming a musician. I'll probably never make it, but I'll never stop playing my guitar! ", ★★★★★ ,Francesco Pica,05 Jun 2020
100," I don't know why it took me this long to watch this but holy shit I'm glad I did. The gripping storyline, the vibrant animation, the beautiful lyricism and the catchy songs. Honestly, I'm bold enough to say that this is already a modern classic. I'll never forget the warm fuzzy feeling that I got from watching the ending. Truly cinema. ", ★★★★★ ,Eddie The Plankton,22 Jan 2022
101, What a fantasic and beautiful movie! Everything from the songs to the colours was incredible. And the ending was so heart warming 💓2024 watches 🎬 , ★★★★½ ,MochtheWeek,12 Jan 2024
102," Y'know what Pixar does really well? Make grown ups cry. Finding Nemo, Toy Story, Up and now Coco have the ability to not just cater to kids but also tell stories that will connect with an audience member of any age. They just love to make it rain... ", ★★★★ ,Robbie Cooper,12 Jun 2023
